Feature,Importance
"TRBV6-8, TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",0.013186858
TRBV10-3,0.012870422
"TRBV12-3, TRBV12-4, TRBV6-6",0.012837334
TRBV14,0.012682255
"TRBV7-9, TRBV6-5",0.012583365
"TRBV6-5, TRBV6-6",0.012508994
TRBV11-1,0.012280984
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-9",0.012116849
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-1",0.012097676
TRBV7-7,0.012061613
"TRBV7-2, TRBV7-9, TRBV7-1, TRBV5-5",0.012059281
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6",0.012011767
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-7",0.011916012
"TRBV6-1, TRBV6-5",0.011887148
"TRBV6-5, TRBV6-1",0.011884686
"TRBV10-2, TRBV28",0.011772588
"TRBV11-3, TRBV11-1, TRBV7-3",0.011766219
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-3, TRBV6-8",0.011537877
"TRBV6-5, TRBV6-6, TRBV6-3",0.01142796
"TRBV6-2, TRBV6-3",0.011243242
"TRBV7-2, TRBV21-1, TRBV7-8",0.011225747
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-9",0.011065902
"TRBV6-5, TRBV6-1, TRBV6-3, TRBV6-8",0.011025607
TRBV12-2,0.010816094
"TRBV20-1, TRBV19",0.010601411
"TRBV6-1, TRBV6-6, TRBV6-5",0.010579842
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-4, TRBV6-8",0.010538454
"TRBV7-2, TRBV7-8, TRBV7-1",0.010464469
"TRBV6-4, TRBV6-5, TRBV6-6",0.01039862
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-3",0.010348231
"TRBV6-6, TRBV6-5, TRBV6-9, TRBV6-1, TRBV6-8",0.0102859065
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-2, TRBV6-3",0.010264059
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-9",0.010245498
"TRBV6-1, TRBV6-5, TRBV6-2, TRBV6-3",0.010216043
"TRBV6-3, TRBV6-2, TRBV6-1, TRBV6-5, TRBV6-6",0.010133228
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-8, TRBV6-9",0.010060535
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",0.009922752
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-9, TRBV6-3",0.009921305
"TRBV7-2, TRBV28, TRBV7-8",0.009903572
"TRBV7-9, TRBV7-4",0.009645056
TRBV7-1,0.009644274
"TRBV11-2, TRBV7-2, TRBV7-8",0.009642037
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV10-3",0.00962074
"TRBV6-3, TRBV6-2, TRBV6-1, TRBV6-6, TRBV6-5",0.0096109165
"TRBV12-3, TRBV12-4",0.0095927445
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-4, TRBV6-8",0.00950627
"TRBV11-3, TRBV11-1",0.009495833
"TRBV6-6, TRBV6-1, TRBV6-3",0.009481675
"TRBV5-8, TRBV5-4, TRBV5-5",0.009433359
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-4",0.009394403
"TRBV6-1, TRBV6-5, TRBV6-3, TRBV6-8",0.009348992
"TRBV6-5, TRBV6-1, TRBV6-8, TRBV6-6",0.009165714
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-1, TRBV6-6",0.009138924
"TRBV20-1, TRBV10-3",0.009095959
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-3",0.009058975
"TRBV6-2, TRBV6-3, TRBV6-6, TRBV6-5, TRBV6-1",0.009021352
"TRBV7-3, TRBV7-4, TRBV11-3, TRBV5-5",0.008980966
"TRBV14, TRBV3-1, TRBV3-2, TRBV4-2",0.008884055
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-9",0.008874641
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-3, TRBV6-8",0.008771521
TRBV23-1,0.008765416
"TRBV6-3, TRBV6-2, TRBV6-5, TRBV6-6, TRBV6-9",0.008673534
TRBV2,0.008664162
"TRBV6-6, TRBV6-5, TRBV6-2, TRBV6-3, TRBV6-8",0.0085535785
"TRBV6-8, TRBV6-1, TRBV6-5, TRBV6-6",0.008454102
"TRBV3-1, TRBV3-2, TRBV6-1, TRBV6-5, TRBV6-6",0.008403504
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6, TRBV6-1",0.008397047
"TRBV10-3, TRBV6-1, TRBV6-5, TRBV6-6",0.00832315
"TRBV11-2, TRBV11-3, TRBV11-1, TRBV7-2",0.008322511
"TRBV7-7, TRBV7-6, TRBV7-3, TRBV7-4",0.008289343
"TRBV5-5, TRBV5-7, TRBV5-8, TRBV5-3, TRBV5-6",0.008281773
TRBV4-1,0.00824127
"TRBV6-8, TRBV6-1, TRBV6-5",0.0082395505
"TRBV6-3, TRBV6-2, TRBV6-6, TRBV6-5",0.008226474
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-4, TRBV6-6",0.008182504
"TRBV7-8, TRBV7-2, TRBV28",0.008172754
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-9, TRBV6-8",0.00813716
"TRBV27, TRBV20-1",0.008112006
"TRBV6-3, TRBV6-2, TRBV6-1",0.008109973
TRBV12-4,0.00809712
"TRBV3-1, TRBV3-2, TRBV9, TRBV14",0.008080061
"TRBV7-6, TRBV28, TRBV7-7",0.008068382
"TRBV6-2, TRBV6-3, TRBV6-1",0.007972608
"TRBV6-2, TRBV6-3, TRBV6-5",0.007941254
"TRBV5-5, TRBV5-7, TRBV5-2, TRBV5-8, TRBV5-3",0.007884545
"TRBV5-5, TRBV5-3, TRBV5-6",0.007860727
"TRBV6-1, TRBV6-5, TRBV6-8, TRBV6-3",0.007826321
"TRBV24-1, TRBV6-1, TRBV6-5, TRBV6-6",0.007698332
"TRBV5-4, TRBV5-8, TRBV5-5",0.0076813996
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV10-3, TRBV6-9",0.0076677273
"TRBV19, TRBV6-1, TRBV6-5, TRBV6-6",0.007622997
"TRBV5-6, TRBV5-3, TRBV5-5, TRBV5-7",0.0075898385
TRBV5-1,0.0075879
"TRBV6-3, TRBV6-2, TRBV6-6, TRBV6-5, TRBV6-1",0.007531165
TRBV1,0.007497845
TRBV5-8,0.00735463
"TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-3, TRBV6-8",0.0072963764
TRBV30,0.007230877
"TRBV4-2, TRBV4-1, TRBV4-3, TRBV6-5, TRBV6-6",0.0071140626
"TRBV20-1, TRBV5-1",0.007106583
"TRBV12-3, TRBV12-4, TRBV28",0.007087807
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-8",0.0069765258
"TRBV5-5, TRBV5-8, TRBV5-3, TRBV5-6",0.0069724633
"TRBV5-4, TRBV5-5, TRBV5-6, TRBV5-7, TRBV5-8",0.0069625345
"TRBV2, TRBV6-1, TRBV6-4",0.006941081
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV7-3, TRBV7-4",0.0069409288
"TRBV7-2, TRBV7-9",0.006907465
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV10-3, TRBV6-9",0.006883476
"TRBV7-9, TRBV7-6",0.00687267
"TRBV6-7, TRBV20-1",0.0068274797
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-4, TRBV6-9",0.0068001035
"TRBV7-2, TRBV7-8, TRBV7-4",0.006768741
"TRBV6-3, TRBV6-2, TRBV6-6, TRBV6-1, TRBV6-5",0.0067134127
"TRBV7-6, TRBV28",0.006616317
"TRBV5-1, TRBV20-1",0.006596295
"TRBV6-9, TRBV6-1, TRBV6-5, TRBV6-6",0.006569934
"TRBV10-3, TRBV6-5, TRBV6-6, TRBV6-1",0.006525062
"TRBV4-1, TRBV4-3, TRBV4-2",0.006474628
"TRBV6-6, TRBV6-5",0.006472149
"TRBV4-1, TRBV4-3, TRBV23-1",0.0064288243
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-1, TRBV6-8",0.0064247865
"TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-1, TRBV6-3",0.0064221513
"TRBV4-1, TRBV4-3, TRBV1, TRBV4-2",0.006391961
"TRBV6-6, TRBV6-5, TRBV6-3, TRBV6-8, TRBV6-2",0.006380576
"TRBV12-4, TRBV12-3",0.0063729095
"TRBV6-1, TRBV6-5, TRBV28, TRBV6-6, TRBV6-8",0.0063674874
"TRBV6-1, TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-6",0.0063556302
"TRBV5-8, TRBV5-3, TRBV5-4",0.006330939
"TRBV6-6, TRBV6-1",0.0063198614
"TRBV7-2, TRBV7-1, TRBV7-8",0.006276507
"TRBV6-2, TRBV6-3, TRBV10-3, TRBV6-5, TRBV6-6",0.006261606
"TRBV5-5, TRBV5-8, TRBV5-6",0.006239073
"TRBV6-5, TRBV6-1, TRBV6-6",0.006237628
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8, TRBV11-3",0.0062019527
"TRBV6-4, TRBV28",0.006153023
"TRBV6-5, TRBV6-8, TRBV6-6, TRBV6-1",0.006018702
"TRBV4-1, TRBV4-2",0.005994957
"TRBV5-7, TRBV5-6",0.005943791
"TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-1, TRBV6-3",0.0059413156
"TRBV7-9, TRBV7-6, TRBV7-3",0.005896859
TRBV6-7,0.005894153
"TRBV5-4, TRBV4-2, TRBV5-8, TRBV5-5",0.005875774
"TRBV4-2, TRBV4-3, TRBV4-1",0.0058698477
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-8",0.0058563254
TRBV7-4,0.0058138184
"TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8, TRBV6-9",0.005788366
"TRBV5-5, TRBV5-8",0.0057647433
"TRBV5-3, TRBV5-5, TRBV5-8",0.005688262
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-8, TRBV6-3",0.0056774984
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8, TRBV7-9",0.0056522763
"TRBV5-6, TRBV5-5",0.0056502176
"TRBV5-5, TRBV5-3, TRBV5-8",0.0056405086
TRBV11-2,0.005624997
TRBV16,0.0056149843
"TRBV6-2, TRBV6-3, TRBV6-9, TRBV6-5, TRBV6-6",0.005609248
"TRBV10-2, TRBV10-1",0.005564497
"TRBV11-3, TRBV11-1, TRBV11-2",0.0055234325
"TRBV6-6, TRBV6-5, TRBV6-3, TRBV6-1, TRBV6-8",0.0055023343
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8, TRBV6-2",0.005499515
"TRBV5-6, TRBV5-5, TRBV5-7",0.005498465
"TRBV5-3, TRBV5-5, TRBV5-6",0.005497682
"TRBV29-1, TRBV20-1",0.0053993124
"TRBV5-3, TRBV5-5, TRBV5-6, TRBV5-8",0.0053896853
"TRBV5-8, TRBV5-5, TRBV5-4, TRBV4-2",0.0053647887
"TRBV18, TRBV10-3",0.005334397
"TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-2, TRBV6-3",0.0053298306
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",0.0053065494
"TRBV11-1, TRBV7-9, TRBV11-3, TRBV5-5, TRBV7-6",0.005280882
TRBV19,0.0052632447
TRBV18,0.005158476
"TRBV5-8, TRBV5-4, TRBV5-3",0.00514307
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-6, TRBV6-5",0.005084595
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-4",0.0050001508
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8, TRBV5-2",0.004958993
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3",0.0049215406
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8",0.004919703
"TRBV7-3, TRBV7-9",0.0048978697
"TRBV2, TRBV28",0.0048883846
"TRBV7-2, TRBV28",0.0048847236
"TRBV5-6, TRBV5-5, TRBV5-7, TRBV5-3",0.0048802816
"TRBV6-5, TRBV6-1, TRBV6-8, TRBV6-3",0.004831608
TRBV5-6,0.004733596
"TRBV7-6, TRBV7-7, TRBV7-9",0.004699572
"TRBV28, TRBV6-1, TRBV6-5, TRBV6-6",0.0046049836
"TRBV27, TRBV28",0.0045528132
"TRBV6-4, TRBV6-1, TRBV6-5, TRBV6-6",0.0044284244
"TRBV7-2, TRBV7-9, TRBV7-8",0.004390848
"TRBV23-1, TRBV28",0.004345377
TRBV7-8,0.0042947964
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV19, TRBV6-8",0.0042636166
"TRBV6-5, TRBV6-6, TRBV6-2, TRBV6-3, TRBV6-1",0.0042016404
TRBV12-5,0.00417597
"TRBV5-6, TRBV5-7",0.004097449
"TRBV15, TRBV7-2, TRBV7-8, TRBV7-9",0.004000981
"TRBV5-5, TRBV5-8, TRBV5-3",0.003998196
"TRBV5-5, TRBV5-3, TRBV5-6, TRBV5-8, TRBV4-2",0.0039884746
"TRBV21-1, TRBV28",0.003977029
TRBV12-1,0.0038492582
"TRBV5-4, TRBV20-1",0.0038187644
"TRBV6-1, TRBV6-5, TRBV28",0.003784925
"TRBV6-6, TRBV6-5, TRBV6-1, TRBV6-3",0.0037138832
"TRBV7-2, TRBV7-8, TRBV28",0.0036932374
"TRBV6-6, TRBV6-1, TRBV6-5",0.0035896988
"TRBV7-7, TRBV28, TRBV7-6",0.003551733
"TRBV23-1, TRBV27",0.0034975216
"TRBV14, TRBV28",0.003428182
"TRBV11-2, TRBV11-3, TRBV11-1",0.0033876058
"TRBV5-1, TRBV6-1, TRBV6-5, TRBV6-6",0.0033704508
"TRBV7-4, TRBV7-3",0.003348404
"TRBV6-6, TRBV6-5, TRBV6-8, TRBV6-3, TRBV6-1",0.0031574771
"TRBV7-2, TRBV7-6, TRBV7-9, TRBV7-8",0.0031079082
"TRBV5-3, TRBV5-5, TRBV5-8, TRBV11-3, TRBV7-9",0.0030684979
"TRBV7-9, TRBV7-3",0.0030540922
"TRBV28, TRBV5-1",0.0030460744
"TRBV28, TRBV20-1",0.0030075982
"TRBV21-1, TRBV19",0.002875955
"TRBV7-8, TRBV7-2, TRBV27",0.0028567421
"TRBV6-3, TRBV6-2, TRBV6-1, TRBV6-5",0.0028210126
"TRBV7-2, TRBV7-6, TRBV7-8, TRBV7-7, TRBV28",0.0027409336
TRBV6-3,0.0026289353
"TRBV20-1, TRBV6-1, TRBV6-5, TRBV6-6, TRBV6-3",0.0025239203
"TRBV6-2, TRBV6-3, TRBV6-9",0.0024374982
"TRBV5-5, TRBV5-6, TRBV5-8",0.002395408
"TRBV5-3, TRBV5-5",0.002363505
"TRBV6-9, TRBV6-5, TRBV6-1, TRBV6-6",0.0023542903
"TRBV2, TRBV5-4",0.0023464293
"TRBV7-3, TRBV7-8",0.0022699882
"TRBV5-5, TRBV5-3, TRBV5-8, TRBV5-6",0.0022519904
"TRBV29-1, TRBV5-4, TRBV5-8",0.0022267383
"TRBV15, TRBV28",0.0022173205
"TRBV6-6, TRBV6-1, TRBV6-5, TRBV6-3",0.0020893794
"TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-1, TRBV6-8",0.0020887554
"TRBV7-1, TRBV7-4",0.0020878122
"TRBV6-3, TRBV6-2, TRBV6-5",0.0020668402
"TRBV7-2, TRBV7-8, TRBV5-1",0.0020386833
"TRBV6-1, TRBV6-5, TRBV6-6, TRBV20-1, TRBV6-8",0.0020341198
"TRBV6-5, TRBV6-6, TRBV6-8, TRBV6-1",0.0020108148
"TRBV2, TRBV11-2",0.0020019675
"TRBV5-5, TRBV5-6, TRBV5-7",0.0019650601
"TRBV6-1, TRBV6-6, TRBV6-5, TRBV6-9, TRBV6-8",0.0019430923
"TRBV5-5, TRBV5-7, TRBV5-6",0.0019214175
"TRBV5-6, TRBV20-1, TRBV5-5, TRBV5-7",0.0018931675
"TRBV11-1, TRBV7-9",0.001868818
"TRBV7-9, TRBV5-6, TRBV7-3",0.0018583918
"TRBV6-2, TRBV6-3, TRBV6-1, TRBV6-5",0.0018568689
"TRBV7-8, TRBV7-2, TRBV7-3",0.0018378394
"TRBV5-5, TRBV5-1, TRBV5-3, TRBV5-6, TRBV5-8",0.0018247922
"TRBV4-2, TRBV28, TRBV4-3",0.0018075189
"TRBV6-5, TRBV6-6, TRBV6-9, TRBV6-1",0.001793127
"TRBV6-1, TRBV6-5, TRBV6-8, TRBV6-6",0.0017930135
"TRBV11-2, TRBV11-3, TRBV5-8, TRBV11-1",0.0017524448
"TRBV6-1, TRBV6-5, TRBV6-3",0.0017369182
"TRBV20-1, TRBV6-5, TRBV6-1, TRBV6-6, TRBV6-8",0.0016924982
"TRBV6-1, TRBV6-2, TRBV6-3, TRBV6-5",0.0016872269
"TRBV7-9, TRBV7-2, TRBV7-8",0.0016228413
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-8, TRBV6-1",0.0016161117
"TRBV7-2, TRBV7-9, TRBV7-3, TRBV7-8",0.0016129968
"TRBV5-8, TRBV4-2, TRBV5-5, TRBV5-4, TRBV7-2",0.0016044913
"TRBV6-2, TRBV6-3, TRBV6-5, TRBV6-1",0.0015884994
"TRBV6-9, TRBV6-5, TRBV6-6, TRBV6-1, TRBV6-8",0.0015660592
"TRBV6-6, TRBV6-5, TRBV6-8",0.0015659061
"TRBV5-8, TRBV5-5, TRBV5-4, TRBV7-2, TRBV11-2",0.0015589243
"TRBV6-3, TRBV6-6, TRBV6-5",0.0015357092
"TRBV12-3, TRBV12-4, TRBV20-1",0.0015327096
"TRBV9, TRBV29-1",0.0015281821
"TRBV7-8, TRBV7-9, TRBV7-2",0.0015193477
"TRBV12-3, TRBV12-4, TRBV12-5",0.0014945018
"TRBV6-5, TRBV6-6, TRBV6-3, TRBV6-2",0.0014847879
"TRBV7-6, TRBV20-1",0.0014803417
"TRBV5-4, TRBV28",0.0014797515
"TRBV7-3, TRBV7-8, TRBV7-2",0.0014652965
"TRBV28, TRBV7-2, TRBV7-8",0.001447533
"TRBV7-2, TRBV7-8, TRBV5-4",0.0014435411
"TRBV7-9, TRBV5-6",0.0014391792
"TRBV11-2, TRBV11-3, TRBV7-2, TRBV11-1, TRBV7-9",0.001429993
"TRBV5-6, TRBV20-1, TRBV5-7",0.0014040438
"TRBV24-1, TRBV10-3",0.0013954153
"TRBV7-2, TRBV7-8, TRBV5-8",0.0013788303
"TRBV11-2, TRBV20-1",0.0013767254
"TRBV7-6, TRBV7-3",0.0013717212
"TRBV7-9, TRBV7-3, TRBV7-6",0.0013525742
"TRBV7-3, TRBV11-2",0.0013385088
"TRBV11-2, TRBV5-6, TRBV5-7",0.001304435
"TRBV7-2, TRBV7-3, TRBV7-9",0.0012968724
"TRBV2, TRBV18",0.0012953549
