Unnamed: 0,transition_type,gene_segment,freq
4,2,TRBJ1-4,-0.0134943621615829
5,2,TRBJ1-5,0.0676604188081416
6,2,TRBJ1-6,-0.0023869866329215
7,2,TRBJ2-1,-0.0333764008992239
8,2,TRBJ2-2,0.0233581393064871
9,2,TRBJ2-3,0.0498735155249907
10,2,TRBJ2-4,-0.0393707393713753
11,2,TRBJ2-5,-0.036449535738203
12,2,"TRBJ2-5, TRBJ2-7",0.0011137616051465
13,2,TRBJ2-6,0.0179088105959411
14,2,TRBJ2-7,-0.0209053425123795
15,2,"TRBJ2-7, TRBJ2-5",0.001230124757923
0,2,TRBJ1-1,0.0280583242303948
1,2,TRBJ1-2,0.0461593269958967
2,2,TRBJ1-3,-0.0169968174795308
3,2,TRBJ1-4,-0.0027479149056681
4,2,TRBJ1-5,-0.0026859890566974
5,2,TRBJ1-6,0.0281486141239049
6,2,TRBJ2-1,0.0021336070934118
7,2,TRBJ2-2,-0.0033150103726059
8,2,TRBJ2-3,-0.0635637458230159
9,2,TRBJ2-4,-0.0047614349016939
10,2,TRBJ2-5,0.0250022844965541
11,2,"TRBJ2-5, TRBJ2-7",-0.0008033315137208
12,2,TRBJ2-6,0.005434877975478
13,2,TRBJ2-7,-0.0400627908627611
0,2,TRBJ1-1,-0.1967033514267266
1,2,TRBJ1-2,0.2346777666140368
2,2,TRBJ1-3,0.0303292513604684
3,2,TRBJ1-4,-0.0102626668580443
4,2,TRBJ1-5,0.2523654325573523
5,2,TRBJ1-6,0.0925442784911159
6,2,TRBJ2-1,0.0458732416474859
7,2,TRBJ2-2,-0.0958702227987559
8,2,TRBJ2-3,-0.3441947295883173
9,2,TRBJ2-4,0.041142222856339
10,2,TRBJ2-5,0.0642329597139608
11,2,"TRBJ2-5, TRBJ2-7",0.0
12,2,TRBJ2-6,0.0342745260480771
13,2,TRBJ2-7,0.1949352788781109
0,2,TRBJ1-1,-0.0339742485836621
1,2,TRBJ1-2,0.0088886115214954
2,2,TRBJ1-3,-5.2747009216640135e-05
3,2,TRBJ1-4,-0.0001658686541417
